,MüşteriID,Güncelik,Alışveriş Sıklığı,Toplam Harcama,R_Skoru,F_Skoru,M_Skoru,RFM_Skoru,Segment
295,12910.0,7,2,1286.6200000000001,4,3,4,434,Others
296,12912.0,152,2,804.24,2,3,3,233,Others
297,12913.0,39,4,1401.49,4,4,4,444,Loyal Champion
298,12915.0,667,1,199.65,1,1,1,111,Others
299,12917.0,278,1,594.0,1,1,3,113,Others
300,12919.0,3,3,676.82,4,3,3,433,Others
301,12921.0,36,20,7377.78,4,4,4,444,Loyal Champion
302,12922.0,338,1,405.38,1,1,2,112,Others
303,12923.0,184,1,176.97,2,1,1,211,Others
304,12924.0,2,2,508.23,4,3,3,433,Others
305,12925.0,213,1,325.74,2,1,2,212,Others
306,12928.0,7,2,980.26,4,3,3,433,Others
307,12929.0,343,1,117.85,1,1,1,111,Others
308,12931.0,33,5,35265.76,4,4,4,444,Loyal Champion
309,12933.0,342,1,110.75,1,1,1,111,Others
310,12935.0,151,2,343.78,2,3,2,232,Others
311,12939.0,38,4,6397.92,4,4,4,444,Loyal Champion
312,12942.0,455,1,258.75,1,1,2,112,Others
313,12944.0,244,1,317.56,1,1,2,112,Others
314,12947.0,66,4,950.12,3,4,3,343,Others
315,12948.0,31,2,660.6700000000001,4,3,3,433,Others
316,12949.0,91,5,3025.07,3,4,4,344,Others
317,12950.0,152,2,1531.4,2,3,4,234,Others
318,12951.0,221,2,467.48,1,3,2,132,Others
319,12952.0,243,1,297.73,1,1,2,112,Others
320,12955.0,121,5,2505.06,3,4,4,344,Others
321,12956.0,192,1,108.07,2,1,1,211,Others
322,12957.0,188,2,1000.2,2,3,3,233,Others
323,12962.0,302,1,95.85000000000001,1,1,1,111,Others
324,12963.0,333,2,630.45,1,3,3,133,Others
325,12965.0,32,1,771.91,4,1,3,413,Others
326,12967.0,639,1,1368.4,1,1,4,114,Others
327,12970.0,302,2,428.44,1,3,2,132,Others
328,12971.0,10,35,3877.92,4,4,4,444,Loyal Champion
329,12976.0,6,1,738.6,4,1,3,413,Others
330,12977.0,187,1,39.239999999999995,2,1,1,211,Others
331,12980.0,10,5,4082.94,4,4,4,444,Loyal Champion
332,12981.0,61,1,185.04,3,1,1,311,Others
333,12982.0,37,1,390.54,4,1,2,412,Others
334,12985.0,30,2,1239.38,4,3,4,434,Others
335,12989.0,2,7,2961.31,4,4,4,444,Loyal Champion
336,12990.0,122,3,409.5,3,3,2,332,Others
337,12993.0,33,1,197.1,4,1,1,411,Others
338,12994.0,33,2,621.82,4,3,3,433,Others
339,12997.0,2,1,307.92,4,1,2,412,Others
340,12999.0,129,1,320.28,2,1,2,212,Others
341,13000.0,425,1,201.75,1,1,1,111,Others
342,13001.0,127,5,3717.6800000000003,2,4,4,244,Others
343,13003.0,34,2,89.05000000000001,4,3,1,431,Others
344,13004.0,71,7,2364.39,3,4,4,344,Others
345,13005.0,160,1,321.65,2,1,2,212,Others
346,13011.0,666,1,50.550000000000004,1,1,1,111,Others
347,13012.0,67,2,330.12,3,3,2,332,Others
348,13013.0,36,10,4000.44,4,4,4,444,Loyal Champion
349,13014.0,153,4,1434.08,2,4,4,244,Others
350,13015.0,129,3,979.37,2,3,3,233,Others
351,13016.0,125,1,425.25,3,1,2,312,Others
352,13017.0,302,1,204.0,1,1,1,111,Others
353,13018.0,91,8,2116.4,3,4,4,344,Others
354,13021.0,128,3,952.83,2,3,3,233,Others
355,13023.0,184,2,689.9,2,3,3,233,Others
356,13026.0,99,5,975.36,3,4,3,343,Others
357,13027.0,157,2,1536.0,2,3,4,234,Others
358,13029.0,91,1,474.3,3,1,3,313,Others
359,13030.0,547,1,427.74,1,1,2,112,Others
360,13034.0,578,1,165.86,1,1,1,111,Others
361,13037.0,250,1,326.90000000000003,1,1,2,112,Others
362,13038.0,96,1,196.66,3,1,1,311,Others
363,13040.0,183,2,676.99,2,3,3,233,Others
364,13043.0,38,1,516.42,4,1,3,413,Others
365,13045.0,336,1,305.28000000000003,1,1,2,112,Others
366,13046.0,91,1,431.59,3,1,2,312,Others
367,13047.0,122,7,1697.41,3,4,4,344,Others
368,13049.0,184,1,502.90000000000003,2,1,3,213,Others
369,13050.0,64,5,1911.92,3,4,4,344,Others
370,13052.0,36,1,348.15000000000003,4,1,2,412,Others
371,13055.0,67,1,344.86,3,1,2,312,Others
372,13058.0,1,2,137.70000000000002,4,3,1,431,Others
373,13059.0,251,1,183.4,1,1,1,111,Others
374,13062.0,339,1,346.98,1,1,2,112,Others
375,13064.0,2,2,639.03,4,3,3,433,Others
376,13065.0,698,1,205.86,1,1,1,111,Others
377,13066.0,153,1,151.81,2,1,1,211,Others
378,13069.0,3,14,2825.74,4,4,4,444,Loyal Champion
379,13075.0,306,1,919.61,1,1,3,113,Others
380,13077.0,120,2,465.55,3,3,2,332,Others
381,13078.0,1,10,4629.86,4,4,4,444,Loyal Champion
382,13079.0,93,2,65.7,3,3,1,331,Others
383,13081.0,61,6,17893.61,3,4,4,344,Others
384,13082.0,217,3,1747.54,2,3,4,234,Others
385,13083.0,213,1,111.36,2,1,1,211,Others
386,13085.0,218,1,137.98,2,1,1,211,Others
387,13089.0,7,37,27867.5,4,4,4,444,Loyal Champion
388,13090.0,122,6,4099.54,3,4,4,344,Others
389,13091.0,30,1,345.82,4,1,2,412,Others
390,13092.0,6,2,151.0,4,3,1,431,Others
391,13093.0,99,4,3470.34,3,4,4,344,Others
392,13094.0,39,8,1134.24,4,4,4,444,Loyal Champion
393,13097.0,94,3,1944.28,3,3,4,334,Others
394,13098.0,34,17,19025.14,4,4,4,444,Loyal Champion
395,13099.0,335,1,207.36,1,1,1,111,Others
396,13102.0,40,13,3843.97,4,4,4,444,Loyal Champion
397,13104.0,182,1,339.48,2,1,2,212,Others
398,13107.0,71,1,566.84,3,1,3,313,Others
399,13108.0,667,1,350.06,1,1,2,112,Others
400,13109.0,31,2,786.54,4,3,3,433,Others
401,13110.0,122,3,781.88,3,3,3,333,Others
402,13113.0,6,11,4756.24,4,4,4,444,Loyal Champion
403,13115.0,1,2,1779.62,4,3,4,434,Others
404,13117.0,64,5,664.71,3,4,3,343,Others
405,13122.0,185,1,18.72,2,1,1,211,Others
406,13124.0,32,2,2610.01,4,3,4,434,Others
407,13126.0,69,5,1126.69,3,4,4,344,Others
408,13130.0,185,1,64.0,2,1,1,211,Others
409,13131.0,219,1,324.90000000000003,2,1,2,212,Others
410,13133.0,38,2,109.8,4,3,1,431,Others
411,13134.0,96,1,360.04,3,1,2,312,Others
412,13136.0,36,1,574.46,4,1,3,413,Others
413,13137.0,30,4,2019.3,4,4,4,444,Loyal Champion
414,13138.0,667,1,193.23,1,1,1,111,Others
415,13139.0,128,3,1887.38,2,3,4,234,Others
416,13140.0,486,1,159.51,1,1,1,111,Others
417,13141.0,97,1,360.18,3,1,2,312,Others
418,13144.0,40,1,110.95,4,1,1,411,Others
419,13145.0,93,3,499.72,3,3,3,333,Others
420,13147.0,91,2,356.4,3,3,2,332,Others
421,13148.0,61,5,1698.09,3,4,4,344,Others
422,13153.0,243,1,486.22,1,1,3,113,Others
423,13155.0,183,2,468.96,2,3,2,232,Others
424,13157.0,7,1,300.12,4,1,2,412,Others
425,13158.0,3,3,944.6500000000001,4,3,3,433,Others
426,13159.0,333,1,282.56,1,1,2,112,Others
427,13162.0,94,3,1139.86,3,3,4,334,Others
428,13166.0,342,1,417.2,1,1,2,112,Others
429,13167.0,276,2,416.76,1,3,2,132,Others
430,13168.0,275,1,346.53000000000003,1,1,2,112,Others
431,13169.0,154,2,712.88,2,3,3,233,Others
432,13173.0,213,2,353.65000000000003,2,3,2,232,Others
433,13174.0,578,1,1415.97,1,1,4,114,Others
434,13177.0,184,1,282.45,2,1,2,212,Others
435,13178.0,97,3,1465.06,3,3,4,334,Others
436,13183.0,101,4,1799.42,3,4,4,344,Others
437,13184.0,34,5,845.53,4,4,3,443,Others
438,13186.0,155,2,1301.94,2,3,4,234,Others
439,13187.0,192,1,236.02,2,1,1,211,Others
440,13192.0,216,1,447.62,2,1,2,212,Others
441,13193.0,92,1,117.88,3,1,1,311,Others
442,13198.0,33,3,1824.44,4,3,4,434,Others
443,13199.0,122,13,2863.76,3,4,4,344,Others
444,13200.0,217,1,319.32,2,1,2,212,Others
445,13203.0,33,2,309.86,4,3,2,432,Others
446,13207.0,4,1,197.52000000000004,4,1,1,411,Others
447,13208.0,1,4,692.14,4,4,3,443,Others
448,13209.0,91,4,2330.79,3,4,4,344,Others
449,13210.0,155,1,353.48,2,1,2,212,Others
450,13211.0,215,1,775.94,2,1,3,213,Others
451,13212.0,92,2,291.47,3,3,2,332,Others
452,13213.0,96,2,548.6,3,3,3,333,Others
453,13217.0,94,2,137.02,3,3,1,331,Others
454,13218.0,247,1,62.64,1,1,1,111,Others
455,13220.0,158,2,643.09,2,3,3,233,Others
456,13224.0,34,2,2155.95,4,3,4,434,Others
457,13225.0,62,3,3428.0,3,3,4,334,Others
458,13226.0,38,1,108.21000000000001,4,1,1,411,Others
459,13230.0,60,7,1567.1200000000001,3,4,4,344,Others
460,13232.0,5,3,473.83,4,3,3,433,Others
461,13233.0,163,1,304.24,2,1,2,212,Others
462,13235.0,36,1,1031.07,4,1,3,413,Others
463,13240.0,246,2,334.11,1,3,2,132,Others
464,13242.0,67,2,104.0,3,3,1,331,Others
465,13244.0,124,1,121.74000000000001,3,1,1,311,Others
466,13248.0,156,2,465.68,2,3,2,232,Others
467,13249.0,124,2,419.57,3,3,2,332,Others
468,13253.0,187,2,1030.4,2,3,3,233,Others
469,13255.0,698,1,225.7,1,1,1,111,Others
470,13259.0,92,1,292.32,3,1,2,312,Others
471,13260.0,92,1,557.62,3,1,3,313,Others
472,13263.0,6,13,2727.1,4,4,4,444,Loyal Champion
473,13265.0,2,4,1802.3,4,4,4,444,Loyal Champion
474,13266.0,61,5,1601.99,3,4,4,344,Others
475,13267.0,10,11,2592.29,4,4,4,444,Loyal Champion
476,13268.0,7,3,843.88,4,3,3,433,Others
477,13269.0,2,8,2941.9900000000002,4,4,4,444,Loyal Champion
478,13270.0,486,1,590.0,1,1,3,113,Others
479,13271.0,303,1,217.38,1,1,1,111,Others
480,13272.0,32,2,276.56,4,3,2,432,Others
481,13276.0,154,2,590.9300000000001,2,3,3,233,Others
482,13280.0,94,2,422.85,3,3,2,332,Others
483,13282.0,281,1,344.70000000000005,1,1,2,112,Others
484,13283.0,31,2,93.66,4,3,1,431,Others
485,13285.0,338,1,796.83,1,1,3,113,Others
486,13291.0,157,1,361.11,2,1,2,212,Others
487,13292.0,334,1,329.37,1,1,2,112,Others
488,13294.0,251,2,873.74,1,3,3,133,Others
489,13297.0,276,2,1638.9,1,3,4,134,Others
490,13298.0,121,1,360.0,3,1,2,312,Others
491,13301.0,248,2,306.99,1,3,2,132,Others
492,13302.0,156,1,63.75,2,1,1,211,Others
493,13305.0,38,6,1086.21,4,4,4,444,Loyal Champion
494,13307.0,33,1,15.0,4,1,1,411,Others
495,13309.0,2,3,1007.09,4,3,3,433,Others
496,13310.0,29,1,314.38,4,1,2,412,Others
497,13311.0,4,2,598.57,4,3,3,433,Others
498,13313.0,128,3,934.0400000000001,2,3,3,233,Others
499,13314.0,121,2,276.32,3,3,2,332,Others
500,13316.0,303,1,1514.17,1,1,4,114,Others
501,13317.0,245,1,959.7,1,1,3,113,Others
502,13318.0,120,3,640.76,3,3,3,333,Others
503,13319.0,61,15,6712.74,3,4,4,344,Others
504,13320.0,67,2,508.61,3,3,3,333,Others
505,13323.0,153,3,530.25,2,3,3,233,Others
506,13324.0,32,5,4649.83,4,4,4,444,Loyal Champion
